microp_capacity,microp_volume,potential,slope,intercept,corr_coef,min_p_index,max_p_index,curvature,point_count,pressure_range
264.290393291369,0.4092170269870349,5.652940413662187,-0.0077016935458756085,2.4220813772203464,-0.9265181343359997,11,30,0.049718940963072084,20,"[0.00045844, 0.03553287]"
262.26924087419803,0.4060875527260066,5.684644492705642,-0.007573550771333256,2.4187473592067406,-0.9287495931652281,11,31,0.049508139406267575,21,"[0.00045844, 0.0447292]"
260.6763255383007,0.4036211442051365,5.710655903638369,-0.0074705315593920785,2.416101590604646,-0.9310810247420019,11,32,0.04960843902324221,22,"[0.00045844, 0.05686254]"
259.4399930615062,0.40170685479710794,5.731548006777458,-0.007389136480403161,2.4140369240500936,-0.9334860033066138,11,33,0.04944034255335423,23,"[0.00045844, 0.07464045]"
305.1289475500435,0.472449865502506,5.298826140998712,-0.009351263294882107,2.484483411067149,-0.9448151931549165,12,21,0.015519378951487358,10,"[0.00051106, 0.00436884]"
292.1106403131648,0.4522928218902315,5.427236010684978,-0.00870308513269292,2.4655473767103873,-0.9424129729441637,12,22,0.015020353979531772,11,"[0.00051106, 0.00523047]"
283.25660737208216,0.4385835795985502,5.527597092962176,-0.008237591692718057,2.4521800492036316,-0.9418180990099463,12,23,0.014761752041450292,12,"[0.00051106, 0.00677779]"
276.1209994658008,0.42753508019307074,5.618988829923438,-0.007842146219845794,2.4410994367200947,-0.9415725112211812,12,24,0.014451924412018128,13,"[0.00051106, 0.00847415]"
270.6657568651835,0.4190883934606607,5.696457312540348,-0.007526532377707445,2.4324333147095873,-0.942032628683611,12,25,0.014231532613782037,14,"[0.00051106, 0.0107617]"
266.42308327293006,0.41251920170050355,5.7623319318041535,-0.007271343975707942,2.425571850016874,-0.9430994447056112,12,26,0.014033516683111012,15,"[0.00051106, 0.01407712]"
263.00221228715026,0.40722245732370843,5.819834946262713,-0.007057932903647723,2.4199594016458827,-0.9445030154272652,12,27,0.013848542256786828,16,"[0.00051106, 0.01702541]"
260.4024386978398,0.40319706841036956,5.866344363327014,-0.006891390975120759,2.4156450471313904,-0.9462118172585046,12,28,0.013737430817019051,17,"[0.00051106, 0.02213823]"
258.3344484103038,0.3999950722017122,5.905552931904359,-0.006755039087770987,2.412182322383022,-0.948153542439472,12,29,0.013606567849702078,18,"[0.00051106, 0.02792096]"
256.7415172301106,0.3975286391481469,5.937221696560033,-0.006647521974513193,2.4094961033656594,-0.9502563116533174,12,30,0.013509493050997176,19,"[0.00051106, 0.03553287]"
255.52131961622192,0.3956393323380362,5.962482507906965,-0.006563390374976618,2.407427141673883,-0.9524407081483293,12,31,0.013509693642316424,20,"[0.00051106, 0.0447292]"
254.6098756085345,0.39422808767474726,5.981987607702457,-0.006499397078149892,2.4058752447187097,-0.9546408531979336,12,32,0.01378339096882483,21,"[0.00051106, 0.05686254]"
253.95949602929713,0.3932210650792071,5.996296913273285,-0.006452978467997746,2.4047644565661495,-0.9568336850507205,12,33,0.01376349073343529,22,"[0.00051106, 0.07464045]"
253.53616382185143,0.3925655938560522,6.005832020664265,-0.006422292250176799,2.404039914865036,-0.9590063548007627,12,34,0.015528683972289228,23,"[0.00051106, 0.09444694]"
274.63866780364117,0.42523989515723415,5.747324192593849,-0.007328454776606341,2.438761683780166,-0.9611040603071932,13,22,0.0154260063154399,10,"[0.00058062, 0.00523047]"
268.5897282147637,0.41587395096169283,5.843208141754813,-0.006973574893608616,2.4290893997513567,-0.9608645233696609,13,23,0.0151312120119504,11,"[0.00058062, 0.00677779]"
263.71617275797,0.4083279261136127,5.929379061198636,-0.006673934341042147,2.421136764318155,-0.9609773775887931,13,24,0.014781196331072647,12,"[0.00058062, 0.00847415]"
260.0384539383388,0.40263348848112346,6.000620527066668,-0.0064390398918298015,2.4150375752722106,-0.9617082104288004,13,25,0.014534230397185795,13,"[0.00058062, 0.0107617]"
257.24295571821426,0.3983050471165305,6.05918780371475,-0.006254122578445733,2.4103434909773447,-0.9629753485083684,13,26,0.014313706295826813,14,"[0.00058062, 0.01407712]"
255.0349026451457,0.3948861831058566,6.108766544542813,-0.00610308003627824,2.4065996196061987,-0.9645040965281267,13,27,0.014108834559541567,15,"[0.00058062, 0.01702541]"
253.40534006214233,0.3923630314044219,6.147333077027201,-0.0059889326785513754,2.403815762619582,-0.9661919386345602,13,28,0.013986279680877884,16,"[0.00058062, 0.02213823]"
252.1653048799251,0.3904430088704707,6.178174794431,-0.005899688806867958,2.401685332293617,-0.9680285692361013,13,29,0.013842415890373204,17,"[0.00058062, 0.02792096]"
251.26915729361593,0.38905544859465413,6.201356901439204,-0.005833772751781654,2.400139183223506,-0.9699211817293075,13,30,0.013736023254842918,18,"[0.00058062, 0.03553287]"
250.64235994861056,0.3880849398188634,6.218114247061135,-0.0057867351090857685,2.3990544710367274,-0.9718006230997198,13,31,0.013729664266008622,19,"[0.00058062, 0.0447292]"
250.23694202299566,0.38745720637709397,6.229239232912481,-0.005755786393076011,2.3983514241920405,-0.9736078915020997,13,32,0.014002530342760874,20,"[0.00058062, 0.05686254]"
250.022656519236,0.38712541498777064,6.23524476146411,-0.005739171235595801,2.3979793652938297,-0.9753229528383237,13,33,0.013977771406183939,21,"[0.00058062, 0.07464045]"
249.9803870602319,0.3870599665916689,6.236450024485329,-0.0057358444098186195,2.3979059361694355,-0.97692797624664,13,34,0.015765766008149464,22,"[0.00058062, 0.09444694]"
258.63267010764247,0.40045682714803527,6.128020285775759,-0.006045734555598588,2.4126833834651116,-0.9711248528447504,14,23,0.015424262399424,10,"[0.00063734, 0.00677779]"
255.25211449759718,0.39522250554035593,6.2074952476257375,-0.005816483532290311,2.406969348450759,-0.9719703521794014,14,24,0.015040084523943013,11,"[0.00063734, 0.00847415]"
252.76980779605935,0.3913789978145438,6.270784788801828,-0.005642142189507164,2.4027251982075013,-0.9732371123940612,14,25,0.014770802148925033,12,"[0.00063734, 0.0107617]"
250.96448872785297,0.38858371156651145,6.320090546629009,-0.005511119571090248,2.399612273510471,-0.9748783130042932,14,26,0.014531549624593621,13,"[0.00063734, 0.01407712]"
249.5959047511637,0.3864646490491484,6.3597835539809795,-0.005408573606524131,2.397237455375121,-0.9766333203407774,14,27,0.014310256712544132,14,"[0.00063734, 0.01702541]"
248.64084020883857,0.3849858640364819,6.388719672920071,-0.005335415726996467,2.3955724646942023,-0.9783555734919993,14,28,0.014178315766780383,15,"[0.00063734, 0.02213823]"
247.98112452537956,0.3839643857781171,6.409561268285623,-0.005283538301631111,2.394418625074416,-0.9801000934194083,14,29,0.014023840739666907,16,"[0.00063734, 0.02792096]"
247.57558727907056,0.3833364675847981,6.4227849451613555,-0.005250971157802344,2.39370781792198,-0.9817702152288003,14,30,0.013909877450248194,17,"[0.00063734, 0.03553287]"
247.36796725787917,0.3830149967709829,6.429732027667491,-0.005233969145790055,2.3933434602735235,-0.983317941188235,14,31,0.013898147189920577,18,"[0.00063734, 0.0447292]"
